string	classification	correction
Annc	s	Announcer
Kristin	s	
Pilot	s	
Mack	s	
Hudson	s	
Spencer	s	
KIDS	s	
BOGDANICH	s	
Miranda	s	
GATES	s	
PRIEST	s	
JUDGE	s	
Russ	s	
TINA	s	
Blake	s	
ndrea	s	Andrea
DHALIWAL	s	
KERRY	s	
Pacino	s	
Defendant	s	
CLAY	s	
Kawas	s	
SHAY	s	
Gersh	s	
EDDIE	s	
ANNETTE	s	
LIMB	s	
GOODWIN	s	
ORMAN	s	
Coburn	s	
THE	s	
Petrella	s	
CHENEY	s	
McGaugh	s	
ASHBURN	s	
OPERATOR	s	
Buffett	s	
Drew	s	
Member	s	
CONRAD	s	
ave	s	Dave
ALYN	s	
COUNTDOWN	s	
Hall	s	
ROSENTHAL	s	
RI	s	
Commentator	s	
Woodard	s	
JEFFREY	s	
Poll	s	
ZzzQuil	i	
SHAUN	s	
ON	i	
ARNOLD	s	
Kimmel	s	
Boehner	s	
ZIMMERMAN	s	
Perkins	s	
Khan	s	
BECKI	s	
KOFINIS	s	
LAILA	s	
this	i	
SANTOS	s	
DOWDY	s	
RHEE	s	
Garcia	s	
SUE	s	
PETRIKORENA	s	
THINGS	i	
MORRIS	s	
BLUESHIRT	s	
Dickey	s	
Jackie	s	
BRYAN	s	
KIRK	s	
Richardson	s	
De	s	
Rosenhaus	s	
ROSEN	s	
BETTE	s	
Clemens	s	
HOWELL	s	
Hoffman	s	
WARS	i	
Alison	s	
PAULA	s	
GAFFNEY	s	
Harvey	s	
DEION	s	
TURLEY	s	
ontel	s	
RAY	s	
TRUTH	s	
Wood	s	
Neeson	s	
NEESON	s	
Carly	s	
ST	s	
ALIS	s	
SEGEL	s	
GALDOS	s	
Interviewer	s	
Koch	s	
Perry	s	
Roberts	s	
DANO	s	
Armstrong	s	
ALI	s	ALISYN
SHRUM	s	
AJ	s	
ALISON	s	
FRIEDMAN	s	
Stern	s	
Waters	s	
Icahn	s	
IT	i	
GILLESPIE	s	
KALEY	s	
HOUSE	s	
DISPATCHER	s	
Santo	s	
Byrd	s	
CRANSTON	s	
RUBIN	s	
PROGRESS	i	
Wynn	s	
Cox	s	
JOSEPH	s	
Dennis	s	
CAPTION	i	
GHONIM	s	
Moyer	s	
ELBARADEI	s	
Hewitt	s	
Turkalo	s	
Faith	s	
ORDER	i	
Cruz	s	
Davis	s	
CONNIE	s	
MARKS	s	
orter	s	Reporter
th	i	
Speakerphone	s	
NEWS	i	
Meyer	s	
FALLON	s	
JENN	s	
SAYS	i	
Dreier	s	
HARRY	s	
SANDERS	s	
Sandra	s	
Comey	s	
Turner	s	
JEN	s	
PETERSON	s	
